ClientCode	Application	Feature	Upin	Comment
1031	Positive Testing	GEN	TEST_1031_GEN_USER1	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER2	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER3	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER4	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER5	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER6	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER7	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER8	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER9	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER10	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER11	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER12	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER13	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER14	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER15	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER16	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER17	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER18	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER19	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER20	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER21	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER22	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER23	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER24	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER25	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER26	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER27	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER28	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER29	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER30	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER31	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER32	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER33	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER34	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER35	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER36	Use only for Positive testing.
1031	Positive Testing	GEN	TEST_1031_GEN_USER37	Use only for Positive testing.
1031	Campaigns	CMP	TEST_1031_CAMP_USER1	Use only for Campaigns testing.
