ClientCode	Application	Feature	Upin	Comment
1030	Positive Testing	GEN	TEST_1030_GEN_USER1	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER2	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER3	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER4	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER5	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER6	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER7	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER8	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER9	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER10	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER11	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER12	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER13	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER14	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER15	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER16	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER17	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER18	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER19	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER20	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER21	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER22	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER23	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER24	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER25	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER26	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER27	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER28	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER29	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER30	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER31	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER32	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER33	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER34	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER35	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER36	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER37	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER38	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER39	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER40	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER41	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER42	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER43	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER44	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER45	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER46	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER47	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER48	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER49	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER50	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER51	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER52	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER53	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER54	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER55	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER56	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER57	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER58	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER59	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER60	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER61	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER62	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER63	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER64	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER65	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER66	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER67	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER68	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER69	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER70	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER71	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER72	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER73	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER74	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER75	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER76	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER77	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER78	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER79	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER80	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER81	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER82	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER83	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER84	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER85	Use only for Positive testing.
1030	Positive Testing	GEN	TEST_1030_GEN_USER86	Use only for Positive testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER101	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER102	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER103	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER104	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER105	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER106	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER107	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER108	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER109	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER110	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER111	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER112	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER113	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER114	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER115	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER116	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER117	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER118	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER119	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER120	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER121	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER122	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER123	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER124	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER125	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER126	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER127	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER128	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER129	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER130	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER131	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER132	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER133	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER134	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER135	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER136	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER137	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER138	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER139	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER140	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER141	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER142	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER143	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER144	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER145	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER146	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER147	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER148	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER149	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER150	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER151	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER152	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER153	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER154	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER155	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER156	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER157	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER158	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER159	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER160	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER161	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER162	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER163	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER164	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER165	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER166	Use only for Campaigns testing.
1030	Campaigns	CMP	TEST_1030_CMP_USER167	Use only for Campaigns testing.
