ClientCode	Application	Feature	Upin	Comment
1036	Positive Testing	GEN	TEST_1036_GEN_USER1	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER2	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER3	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER4	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER5	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER6	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER7	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER8	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER9	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER10	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER11	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER12	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER13	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER14	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER15	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER16	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER17	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER18	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER19	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER20	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER21	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER22	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER23	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER24	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER25	Use only for Positive testing.
1036	Positive Testing	GEN	TEST_1036_GEN_USER26	Use only for Positive testing.
